 -173.82  -89.57   0.212    0.00    1.00
  175.98  -86.64   0.242    0.00    1.00
  110.57  -87.87   0.174    0.00    1.00
  144.62  -89.64   0.277    0.00    1.00
   91.22  -89.07   0.218    0.00    1.00
  115.49  -85.47   0.177    0.00    1.00
 -107.58  -89.27   0.190    0.00    1.00
  166.94  -88.77   0.196    0.00    1.00
  129.91  -89.06   0.111    0.00    1.00
 -109.71  -88.18   0.174    0.00    1.00
  179.89  -88.33   0.193    0.00    1.00
  113.54  -89.42   0.290    0.00    1.00
 -135.96  -88.82   0.171    0.00    1.00
 -116.16  -83.25   0.103    0.00    1.00
  -91.84  -84.14   0.141    0.00    1.00
  146.12  -78.40   0.151    0.00    1.00
 -149.28  -87.99   0.291    0.00    1.00
   98.45  -88.60   0.248    0.00    1.00
 -120.20  -74.97   0.117    0.00    1.00
  131.78  -74.94   0.275    0.00    1.00
 -114.64  -86.17   0.161    0.00    1.00
  134.11  -89.31   0.296    0.00    1.00
  164.98  -76.86   0.118    0.00    1.00
  127.19  -87.72   0.154    0.00    1.00
  116.25  -85.51   0.159    0.00    1.00
 -149.50  -85.62   0.276    0.00    1.00
   98.32  -89.43   0.290    0.00    1.00
 -140.14  -73.19   0.191    0.00    1.00
  175.18  -88.06   0.101    0.00    1.00
 -147.12  -88.80   0.266    0.00    1.00
 -156.46  -78.38   0.300    0.00    1.00
  133.36  -86.33   0.163    0.00    1.00
 -142.26  -85.88   0.246    0.00    1.00
  159.90  -87.24   0.229    0.00    1.00
 -123.63  -81.69   0.221    0.00    1.00
 -145.86  -89.99   0.145    0.00    1.00
 -143.13  -89.33   0.177    0.00    1.00
  160.95  -84.41   0.275    0.00    1.00
  153.62  -86.04   0.117    0.00    1.00
 -138.03  -89.60   0.156    0.00    1.00
  107.45  -88.85   0.248    0.00    1.00
 -151.36  -89.46   0.134    0.00    1.00
  144.36  -88.99   0.235    0.00    1.00
 -125.59  -89.62   0.292    0.00    1.00
 -177.44  -89.89   0.162    0.00    1.00
 -163.73  -79.62   0.218    0.00    1.00
  166.48  -88.15   0.284    0.00    1.00
 -102.14  -86.49   0.138    0.00    1.00
  -92.70  -84.99   0.119    0.00    1.00
 -153.47  -82.66   0.106    0.00    1.00
 -127.83  -82.00   0.243    0.00    1.00
 -149.31  -89.61   0.165    0.00    1.00
 -137.00  -87.91   0.184    0.00    1.00
 -135.84  -88.57   0.265    0.00    1.00
 -103.37  -85.23   0.273    0.00    1.00
  -96.24  -86.95   0.229    0.00    1.00
  133.07  -88.05   0.216    0.00    1.00
  143.49  -86.32   0.290    0.00    1.00
  178.46  -80.41   0.130    0.00    1.00
 -105.52  -79.13   0.243    0.00    1.00
  112.37  -84.90   0.241    0.00    1.00
 -118.47  -88.93   0.102    0.00    1.00
  120.85  -87.74   0.244    0.00    1.00
  -89.86  -88.20   0.163    0.00    1.00
 -149.73  -87.34   0.154    0.00    1.00
  153.46  -88.00   0.226    0.00    1.00
 -154.33  -87.50   0.127    0.00    1.00
 -165.80  -89.18   0.284    0.00    1.00
 -103.53  -87.09   0.238    0.00    1.00
  108.32  -86.40   0.259    0.00    1.00
  -79.58  -87.39   0.188    0.00    1.00
 -142.01  -77.59   0.240    0.00    1.00
  143.16  -89.91   0.274    0.00    1.00
 -144.12  -76.39   0.272    0.00    1.00
 -177.41  -85.17   0.224    0.00    1.00
 -167.92  -76.41   0.196    0.00    1.00
  171.48  -79.06   0.143    0.00    1.00
  -87.56  -89.16   0.143    0.00    1.00
  151.86  -74.62   0.243    0.00    1.00
  163.06  -89.40   0.177    0.00    1.00
  -77.36  -88.38   0.236    0.00    1.00
  154.30  -84.07   0.296    0.00    1.00
 -136.89  -88.87   0.257    0.00    1.00
 -133.29  -89.05   0.210    0.00    1.00
 -143.59  -89.36   0.156    0.00    1.00
  175.05  -79.62   0.233    0.00    1.00
  152.03  -86.56   0.246    0.00    1.00
  111.13  -88.50   0.294    0.00    1.00
  -96.25  -85.99   0.225    0.00    1.00
 -134.47  -89.29   0.210    0.00    1.00
 -169.65  -89.33   0.275    0.00    1.00
  -75.02  -86.33   0.130    0.00    1.00
  -81.82  -81.17   0.242    0.00    1.00
 -122.01  -84.77   0.140    0.00    1.00
